,Keywords,Frequency
0,the,327
1,to,187
2,of,149
3,and,132
4,a,124
5,in,99
6,that,68
7,is,58
8,as,53
9,on,52
10,China,51
11,with,49
12,trade,47
13,US,47
14,Chinese,44
15,The,37
